backend,controle,cenario,Pnao_max,E_nao_kWh,SOC_final,n_fallback,pct_fallback,n_overrun,t_us_med,t_us_max,t_us_p99,wall_s
matlab_fpga,heur,carga_faixas,90.979599,0.063796,59.512764,0,0.0000,0,0.000,0.000,0.000,0.807
matlab_fpga,mpc,carga_faixas,0.000000,0.000000,59.062196,0,0.0000,0,11167.632,517275.200,28608.850,21.895
matlab_fpga,heur,limite_fonte,90.979599,0.063796,51.241592,0,0.0000,0,0.000,0.000,0.000,0.140
matlab_fpga,mpc,limite_fonte,0.000000,0.000000,51.095579,0,0.0000,0,8425.358,97316.300,15796.400,17.038
matlab_fpga,heur,perda_fonte,592.612264,14.754610,57.939785,0,0.0000,0,0.000,0.000,0.000,0.096
matlab_fpga,mpc,perda_fonte,351.169468,14.584159,57.572734,0,0.0000,0,7879.565,41210.100,16422.100,11.590
matlab_fpga,heur,retorno_fonte,592.612264,24.476833,55.600604,0,0.0000,0,0.000,0.000,0.000,0.110
matlab_fpga,mpc,retorno_fonte,351.169484,24.306381,55.233718,0,0.0000,0,7438.324,19058.600,13140.050,10.926
serial,heur,carga_faixas,90.979599,0.063796,59.512764,0,0.0000,0,0.000,0.000,0.000,57.278
serial,heur,perda_fonte,592.612264,14.754610,57.939785,0,0.0000,0,0.000,0.000,0.000,57.109
serial,heur,limite_fonte,90.979599,0.063796,51.241592,0,0.0000,0,0.000,0.000,0.000,57.184
serial,heur,retorno_fonte,592.612264,24.476833,55.600604,0,0.0000,0,0.000,0.000,0.000,56.934
serial,heur,carga_faixas,90.979599,0.063796,59.512764,0,0.0000,0,0.000,0.000,0.000,56.753
