id,group,scenario,ctrl,variant,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00051,ablacao,carga_faixas,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0206873,0.02182535,0.0322213,0.03756865,0.0477034,0.0140926,0.017410000000000002,0.0271063,0.0313192,0.042006,0.0041868,0.0040611499999999995,0.00514385,0.00596605,0.008179,0,05_resultados\revisao_operacional\campanha_v1\j00051.mat,campanha_v1
j00052,ablacao,carga_faixas,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",3.961595234438988,3.961595234438988,1,0.001100443120682477,0.0011004431206774966,1,0,0,0,58.71632027792423,57.302398634112606,60,20.25529935013151,792.4262827289438,0,0,0.020255299350131508,400,1,59.99863562207504,0.01459813560915535,491,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0214254,0.02061695,0.02805325,0.0303043,0.0392623,0.0145137,0.016792750000000002,0.023771050000000002,0.02516955,0.0335968,0.0040222,0.0036873,0.0044302000000000005,0.005223800000000001,0.0075219,0,05_resultados\revisao_operacional\campanha_v1\j00052.mat,campanha_v1
j00053,ablacao,carga_faixas,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",3.9021877003567056,3.9021877003567056,1,0.00108394102788078,0.0010839410278768627,1,0,0,0,53.555526586808284,53.01380789429769,60,36.03556351529938,789.3270603083632,0,0,0.03603556351529938,400,1,59.9995785857463,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,33249.70894497384,4393469340288.3667,0.0727901,0.0013663,0.0020031,0.0026771,0.0727901,0.0278664,0.00106825,0.00157885,0.0019497,0.0278664,0.0356957,0.0001667,0.0002675,0.00033600000000000004,0.0356957,0,05_resultados\revisao_operacional\campanha_v1\j00053.mat,campanha_v1
j00054,ablacao,carga_faixas,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",0.2182924818152685,0,1,8.668931185116168e-05,0,0,0,0,0,58.808101370321445,57.39376618575136,60,19.823480010155343,358.7315207353881,0,0,0.019823480010155343,400,0,59.63176748339145,0.014629110587307537,489,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0220013,0.020207450000000002,0.0251298,0.0310922,0.0352893,0.0138776,0.016156749999999998,0.0200587,0.026228750000000002,0.0295316,0.0061179,0.0038074,0.0047978,0.0054806,0.0090407,0,05_resultados\revisao_operacional\campanha_v1\j00054.mat,campanha_v1
j00070,ablacao,limite_fonte,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",5.684341886080802e-14,0,1,4.525834738384814e-15,0,0,0,0,0,50.83058161150191,50.83058161150191,60,43.55473734536567,152.33541664108074,0,0,0.04355473734536568,200,0,59.628468060794916,7.105427357601002e-15,0,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.0211946,0.0278365,0.034801250000000006,0.0390845,0.0447546,0.0150114,0.02342205,0.03026235,0.03357865,0.0398542,0.0042687,0.00402485,0.004757549999999999,0.00524145,0.0063208,0,05_resultados\revisao_operacional\campanha_v1\j00070.mat,campanha_v1
j00071,ablacao,limite_fonte,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",3.9626254986899596,3.9626254986899596,1,0.001100729305196056,0.0011007293051916555,1,0,0,0,50.747839322311435,50.747839322311435,60,43.94776321902109,592.1865403436988,0,0,0.043947763219021094,200,1,59.99961693009053,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0208708,0.0268755,0.02842955,0.0302334,0.0468466,0.0151076,0.02266165,0.024009799999999998,0.025342299999999998,0.0396714,0.0042098,0.00392595,0.0045815000000000005,0.0049336499999999995,0.0097456,0,05_resultados\revisao_operacional\campanha_v1\j00071.mat,campanha_v1
j00072,ablacao,limite_fonte,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",3.903116547912589,3.903116547912589,1,0.0010841990410897563,0.0010841990410868302,1,0,0,0,39.87176252431979,39.87176252431979,60,95.60912800948135,422.3020070848082,0,0,0.09560912800948135,200,1,59.9999965988805,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,33249.70894497384,4393469340288.3667,0.002821,0.00167735,0.00228545,0.00273505,0.0042594,0.0018026,0.0013553,0.0018369,0.0022268,0.0027586,0.0004146,0.00018935,0.0002796,0.0003357,0.0022164,0,05_resultados\revisao_operacional\campanha_v1\j00072.mat,campanha_v1
j00073,ablacao,limite_fonte,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",0.09380091397363799,0,1,2.6055809441584588e-05,0,0,0,0,0,50.84460996066581,50.84460996066581,60,43.488102686837365,153.17204531238784,0,0,0.043488102686837365,200,0,59.633007113569256,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.02305,0.02068755,0.02529825,0.031272049999999996,0.0346855,0.0161046,0.0163677,0.019930450000000002,0.025984399999999998,0.0286778,0.0051891,0.00406615,0.0050028,0.00546565,0.0060047,0,05_resultados\revisao_operacional\campanha_v1\j00073.mat,campanha_v1
j00089,ablacao,perda_fonte,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",592.5550999449755,592.5550999449755,1,14.754570097568552,14.75457009756855,150,150,150,150,57.78700252120034,56.39326070956563,60,24.467494848693256,849.9980521681392,0,0,0.024467494848693257,500,150,59.9982180948641,0.014570709426585893,733,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0241926,0.0236268,0.026706399999999998,0.03289045,0.0438339,0.0165767,0.019434100000000003,0.02219135,0.02693915,0.0387772,0.0050659,0.0039615,0.0048509,0.00549785,0.0083782,0,05_resultados\revisao_operacional\campanha_v1\j00089.mat,campanha_v1
j00090,ablacao,perda_fonte,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",592.5550999449755,592.5550999449755,1,14.754570097568552,14.75457009756855,150,150,150,150,57.78700252120034,56.39326070956563,60,24.467494848693256,849.9980521681392,0,0,0.024467494848693257,500,150,59.9982180948641,0.014570709426585893,733,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0206077,0.0231614,0.024606000000000003,0.0261079,0.0310956,0.0150459,0.019138049999999997,0.020710350000000002,0.02145175,0.026244,0.0040207,0.0037034,0.004321800000000001,0.0046422,0.0048442,0,05_resultados\revisao_operacional\campanha_v1\j00090.mat,campanha_v1
j00091,ablacao,perda_fonte,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",592.6113798405665,592.6113798405665,1,14.754609829506283,14.75460982950628,150,150,150,150,55.09320248098378,54.579506489988034,60,28.451007283060317,846.4897512122043,0,0,0.02845100728306032,500,150,59.9999786671372,7.105427357601002e-15,0,0,1.4340816942293166e-07,9.733957995194942e-08,33249.70894497384,4393469340288.3667,0.0027426,0.0012832,0.00160505,0.00185375,0.0110073,0.0018006,0.00101845,0.0012701000000000001,0.0014420499999999998,0.0106033,0.0003447,0.000151,0.0002132,0.0002692,0.0014827,0,05_resultados\revisao_operacional\campanha_v1\j00091.mat,campanha_v1
