id,group,scenario,ctrl,event_mode,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,recovery_event_starts_s,recovery_s,SOC_at_events
j00432,alarm,perda_fonte,heuristico,false_alarm,{},0,0,1,0,0,0,0,0,0,60,60,60,0,0,0,0,0,nan,0,nan,nan,nan,nan,nan,4.17e-05,8e-06,9.250000000000001e-06,1.7e-05,4.17e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00432.mat,campanha_v1,,,
j00433,alarm,perda_fonte,heuristico_foresight,false_alarm,{},5.684341886080802e-14,0,1,2.881645539471517e-16,0,0,0,0,0,57.56767374485464,56.13372177187387,60,25.911937230866048,850,0,0,0.025911937230866048,nan,0,nan,nan,nan,nan,nan,4.94e-05,9.3e-06,1.07e-05,1.7749999999999998e-05,4.94e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00433.mat,campanha_v1,,,
j00434,alarm,perda_fonte,miope_qp,false_alarm,{},5.6827806349524224e-14,0,1,4.505155863286724e-15,0,0,0,0,0,59.999926440488764,59.999926440488764,60,0.00034940767869469114,0.0010563485788850357,0,0,3.4940767869469116e-07,nan,0,nan,nan,nan,nan,nan,0.0013286,0.00061305,0.0007441500000000001,0.00094465,0.0013286,0.0011775,0.0005453,0.0006605000000000001,0.00087235,0.0011775,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00434.mat,campanha_v1,,,
j00435,alarm,perda_fonte,mpc_qp_v5,false_alarm,{},5.684341886080802e-14,0,1,4.1763033777397185e-15,0,0,0,0,0,57.12371877021349,55.72733263142534,60,27.644570731192864,1655.8768149849989,0,1.5833333333333335,0.027644570731192863,0.014571146581765504,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0226349,0.02566925,0.0317322,0.038843550000000004,0.0592904,0.0157224,0.02132055,0.02676945,0.03391835,0.0398792,0.0046953,0.0041408,0.0050576,0.005919300000000001,0.0380513,0,05_resultados\revisao_operacional\campanha_v1\j00435.mat,campanha_v1,,,
j00436,alarm,perda_fonte,mpc_qp_estocastico_3cen,false_alarm,{},5.684341886080802e-14,0,1,3.868510450249434e-15,0,0,0,0,0,49.42130581606533,49.42130581606533,60,50.24879737368953,831.9832643549931,0,0,0.05024879737368953,7.105427357601002e-15,0,0,0,0.003677506648898543,666566.4042708572,8858386386927326.0,0.0462355,0.0516709,0.08376755,0.10778455,0.1420473,0.0321301,0.039898699999999995,0.0718695,0.0959801,0.1307606,0.0116035,0.01134105,0.0129045,0.0142582,0.020224,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00436.mat,evento_adiantado_corrigido_v1,,,
j00437,alarm,perda_fonte,heuristico,missed_event,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,nan,0,nan,nan,nan,nan,nan,4.05e-05,8e-06,1.08e-05,1.585e-05,4.05e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00437.mat,campanha_v1,500,150,60
j00438,alarm,perda_fonte,heuristico_foresight,missed_event,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.90343641541995,56.47212333132807,60,24.29064093456975,850,0,0,0.02429064093456975,nan,0,nan,nan,nan,nan,nan,4.58e-05,9e-06,1.02e-05,1.6899999999999997e-05,4.58e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00438.mat,campanha_v1,500,150,60
j00439,alarm,perda_fonte,miope_qp,missed_event,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,nan,0,nan,nan,nan,nan,nan,0.0012217,0.0006189500000000001,0.00071225,0.00088675,0.0012763,0.0010808,0.00055015,0.0006317,0.00079705,0.0011074,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00439.mat,campanha_v1,500,150,59.99996967342122
j00440,alarm,perda_fonte,mpc_qp_v5,missed_event,{},592.5550999449755,592.5550999449755,1,14.754570097568552,14.75457009756855,150,150,150,150,57.78700252120034,56.39326070956563,60,24.467494848693256,849.9980521681392,0,0,0.024467494848693257,0.014570709426585893,733,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0224745,0.025043700000000002,0.0314804,0.032247899999999996,0.0379224,0.0155838,0.02052735,0.026468,0.0273145,0.0321291,0.0046985,0.0043815,0.005013999999999999,0.0053939999999999995,0.0081076,0,05_resultados\revisao_operacional\campanha_v1\j00440.mat,campanha_v1,500,150,59.9982180948641
j00441,alarm,perda_fonte,mpc_qp_estocastico_3cen,missed_event,{},532.1356226723442,532.1356226723442,1,14.711915724238894,14.711915724238889,150,150,150,150,50.22180863567349,50.22180863567349,60,46.44640898055122,831.9826806281378,0,0,0.04644640898055122,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0498557,0.056084049999999996,0.061187950000000005,0.06436205,0.0748139,0.0340507,0.042664549999999996,0.046734899999999996,0.04940345,0.0590604,0.0125534,0.0129999,0.014439150000000001,0.01568015,0.0179244,0,05_resultados\revisao_operacional\campanha_v1\j00441.mat,campanha_v1,500,150,56.99090378825492
