id,group,scenario,ctrl,event_mode,delay,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00442,detection,perda_fonte,heuristico,detection_delay,1,{},750,750,1,14.86572156472631,14.86572156472631,150,150,150,150,57.93714639966309,56.5039066455025,60,24.149810561023866,850,0,0,0.024149810561023867,500,150,60,nan,0,nan,nan,nan,nan,nan,4.68e-05,9.3e-06,1.12e-05,1.585e-05,7.26e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00442.mat,campanha_v1
j00443,detection,perda_fonte,heuristico_foresight,detection_delay,1,{},750,750,1,14.86572156472631,14.86572156472631,150,150,150,150,57.90079752653106,56.47212333132807,60,24.276752045680862,850,0,0,0.02427675204568086,500,150,60,nan,0,nan,nan,nan,nan,nan,6.25e-05,1.05e-05,1.855e-05,2.15e-05,6.25e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00443.mat,campanha_v1
j00444,detection,perda_fonte,miope_qp,detection_delay,1,{},749.9989438359523,749.9989438359523,1,14.865720819105576,14.865720819105574,150,150,150,150,57.912127887982145,56.475012489846435,60,24.307455926575454,1150.0008250895448,0,0,0.024307455926575454,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012259,0.00062,0.0007251,0.00087595,0.0012259,0.0010814,0.00054985,0.0006451499999999999,0.0007814,0.0010814,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00444.mat,campanha_v1
j00445,detection,perda_fonte,mpc_qp_v5,detection_delay,1,{},749.9056884898165,749.9056884898165,1,14.865654983588017,14.865654983588014,150,150,150,150,57.784388551619166,56.39328116652584,60,24.453532275282985,849.9980515727766,0,0,0.024453532275282984,500,150,59.9982180948641,0.014571092582187362,733,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0220933,0.025319349999999997,0.03088775,0.031894000000000006,0.0565387,0.0157848,0.020667249999999998,0.02599995,0.02689415,0.0385674,0.0046157,0.0043583,0.004990349999999999,0.0055534,0.0222984,0,05_resultados\revisao_operacional\campanha_v1\j00445.mat,campanha_v1
j00446,detection,perda_fonte,mpc_qp_estocastico_3cen,detection_delay,1,{},650.290875259335,650.290875259335,1,14.795329856258535,14.795329856258533,150,150,150,150,50.221831866235824,50.221831866235824,60,46.44629863538011,831.9832271250963,0,0,0.04644629863538011,500,150,56.99090378825492,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0499391,0.0548248,0.0580522,0.05995425,0.0673314,0.0343831,0.04210145,0.044855950000000006,0.0456552,0.0554255,0.0123014,0.0121921,0.014418199999999999,0.0149531,0.0205934,0,05_resultados\revisao_operacional\campanha_v1\j00446.mat,campanha_v1
j00447,detection,perda_fonte,heuristico,detection_delay,5,{},750,750,1,15.310166009170755,15.310166009170755,150,150,150,150,57.92659084410754,56.5039066455025,60,24.09425500546831,850,0,0,0.02409425500546831,500,150,60,nan,0,nan,nan,nan,nan,nan,4.36e-05,9.3e-06,1.1e-05,1.325e-05,4.36e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00447.mat,campanha_v1
j00448,detection,perda_fonte,heuristico_foresight,detection_delay,5,{},750,750,1,15.310166009170755,15.310166009170755,150,150,150,150,57.8902419709755,56.47212333132807,60,24.221196490125305,850,0,0,0.024221196490125305,500,150,60,nan,0,nan,nan,nan,nan,nan,4.65e-05,1.03e-05,1.28e-05,1.585e-05,5.28e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00448.mat,campanha_v1
j00449,detection,perda_fonte,miope_qp,detection_delay,5,{},749.9989438359523,749.9989438359523,1,14.999053272303806,14.999053272303806,150,150,150,150,57.836075255710156,56.40951522853143,60,24.563013333837702,1150.00082466043,0,0,0.024563013333837702,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012811,0.0006175,0.0007311500000000001,0.0009778,0.0012811,0.0011374,0.000548,0.0006490000000000001,0.0008794,0.0011374,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00449.mat,campanha_v1
j00450,detection,perda_fonte,mpc_qp_v5,detection_delay,5,{},749.9056884898165,749.9056884898165,1,15.309506371827379,15.309506371827379,150,150,150,150,57.77371228472964,56.3931563126105,60,24.398591578885544,849.9980492049219,0,0,0.024398591578885544,500,150,59.9982180948641,0.014571092592312596,733,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0224481,0.02498625,0.03151945,0.03424755,0.0441721,0.0157386,0.02048995,0.026406850000000003,0.0284233,0.0343241,0.0045156,0.0043521,0.0050442,0.0057734,0.0092933,0,05_resultados\revisao_operacional\campanha_v1\j00450.mat,campanha_v1
j00451,detection,perda_fonte,mpc_qp_estocastico_3cen,detection_delay,5,{},650.290875259335,650.290875259335,1,15.128951802361714,15.128951802361712,150,150,150,150,50.221824586947314,50.221824586947314,60,46.44633321200063,832.0097806131671,0,0,0.04644633321200063,500,150,56.99090378825492,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0486782,0.05521005,0.059036000000000005,0.06552275,0.0825189,0.0337407,0.042479649999999994,0.0453452,0.0492191,0.0575859,0.0120743,0.012264899999999999,0.01421005,0.01753015,0.0424721,0,05_resultados\revisao_operacional\campanha_v1\j00451.mat,campanha_v1
j00452,detection,perda_fonte,heuristico,detection_delay,10,{},750,750,1,15.86572156472631,15.86572156472631,150,150,150,150,57.91339639966309,56.5039066455025,60,24.02481056102387,850,0,0,0.02402481056102387,500,150,60,nan,0,nan,nan,nan,nan,nan,4.68e-05,9.3e-06,1.18e-05,1.555e-05,7.81e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00452.mat,campanha_v1
j00453,detection,perda_fonte,heuristico_foresight,detection_delay,10,{},750,750,1,15.86572156472631,15.86572156472631,150,150,150,150,57.87704752653106,56.47212333132807,60,24.151752045680862,850,0,0,0.02415175204568086,500,150,60,nan,0,nan,nan,nan,nan,nan,5.13e-05,1.02e-05,1.21e-05,2.3e-05,5.13e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00453.mat,campanha_v1
j00454,detection,perda_fonte,miope_qp,detection_delay,10,{},749.9989438359523,749.9989438359523,1,14.99905327230508,14.99905327230508,150,150,150,150,57.70592198300673,56.29255616420422,60,25.049125687411642,1150.000823928201,0,0,0.025049125687411643,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0014249,0.00059545,0.00072685,0.0008667,0.0014249,0.0012591,0.0005282500000000001,0.0006431,0.0007773999999999999,0.0012591,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00454.mat,campanha_v1
