id,group,scenario,ctrl,level,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00036,fairness,carga_faixas,heuristico,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",102.78367916551602,102.78367916551602,1,0.07256225343903387,0.07207333282122684,10,2,1,0,59.51618405520798,57.81470825854433,60,19.335271543828387,600,0,0,0.019335271543828386,400,10,60,nan,0,nan,nan,nan,nan,nan,0.0046744,8.5e-06,1.11e-05,0.00014355,0.005642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00036.mat,campanha_v1
j00037,fairness,carga_faixas,heuristico_foresight,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",4.67481628589934,4.67481628589934,1,0.003300282757656243,0.002853638055887286,4,0,0,0,59.52125715462317,57.67728135795952,60,20.738049321606166,600,0,0,0.020738049321606167,400,4,59.877154566927075,nan,0,nan,nan,nan,nan,nan,0.0041628,9.5e-06,1.1e-05,0.00010004999999999999,0.0041628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00037.mat,campanha_v1
j00038,fairness,carga_faixas,miope_qp,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",102.78268126816418,102.78268126816418,1,0.03603544876850129,0.036030804299576176,2,1,1,0,59.24942167409445,57.779168614335155,60,18.28712308064124,1237.1857078008113,0,0,0.01828712308064124,400,2,59.97216934448677,nan,0,nan,nan,nan,nan,nan,0.7429056,0.000575,0.00097845,0.0014168,0.7429056,0.1444302,0.00050055,0.00085635,0.0011472499999999998,0.1444302,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00038.mat,campanha_v1
j00039,fairness,carga_faixas,mpc_qp_v5,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",0.018087602382593104,0,1,5.024333999643974e-06,0,0,0,0,0,58.80087186350924,57.38655237260539,60,19.857663024355066,358.03972686688587,0,0,0.019857663024355068,400,0,59.62722919881179,0.014627090501889484,489,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.2481036,0.0216384,0.0329897,0.03613975,0.2481036,0.0967286,0.0174213,0.0276504,0.0291781,0.0967286,0.0858075,0.00397915,0.0052187,0.0071788500000000005,0.0858075,0,05_resultados\revisao_operacional\campanha_v1\j00039.mat,campanha_v1
j00040,fairness,carga_faixas,mpc_qp_estocastico_3cen,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",5.684341886080802e-14,0,1,3.7503365093233884e-15,0,0,0,0,0,53.36237841848454,52.463168980995256,60,40.53262859021656,759.2038982176564,0,0,0.040532628590216564,400,0,57.99374961080938,0.01464026161082188,860,0,0,1.1880274541908875e-10,666566.4016168036,8030487551224027.0,0.0584746,0.0505901,0.05821375,0.06386145,0.0754229,0.0268352,0.03865095,0.045925850000000004,0.0519938,0.0632869,0.0166439,0.0114036,0.013573700000000001,0.0147855,0.0166439,0,05_resultados\revisao_operacional\campanha_v1\j00040.mat,campanha_v1
j00041,fairness,carga_faixas,heuristico,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",90.97959895689502,90.97959895689502,1,0.06422892010570061,0.06379614904621922,10,2,0,0,59.517907106258605,57.816141260772916,60,19.329991355989957,600,0,0,0.019329991355989957,400,10,60,nan,0,nan,nan,nan,nan,nan,0.000539,8.4e-06,1.0549999999999999e-05,2.4650000000000003e-05,0.0005964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00041.mat,campanha_v1
j00042,fairness,carga_faixas,heuristico_foresight,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",4.67481628589934,4.67481628589934,1,0.003300282757656244,0.002853638055887286,4,0,0,0,59.51681792497207,57.680468746153046,60,20.682769133767742,600,0,0,0.020682769133767744,400,4,59.877154566927075,nan,0,nan,nan,nan,nan,nan,0.0011513,9.6e-06,1.27e-05,1.955e-05,0.0011513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00042.mat,campanha_v1
j00043,fairness,carga_faixas,miope_qp,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",71.3052887014153,71.3052887014153,1,0.019813174732028427,0.019807024639282026,1,1,0,0,59.25008160676647,57.760607256323,60,18.476454219010296,1727.9149492874367,0,0,0.018476454219010296,400,1,59.95362924970418,nan,0,nan,nan,nan,nan,nan,0.0068582,0.0005948500000000001,0.00083205,0.0010738000000000002,0.0068582,0.0057941,0.00052575,0.0007243,0.0009375,0.0057941,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00043.mat,campanha_v1
j00044,fairness,carga_faixas,mpc_qp_v5,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",0.018083287134061266,0,1,5.0231353196875385e-06,0,0,0,0,0,58.80445916053478,57.39032820948357,60,19.838735484169895,358.15579424110837,0,0,0.019838735484169895,400,0,59.62722944090069,0.014627068887953953,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0298648,0.02141015,0.03080815,0.03920295,0.0467685,0.0141305,0.017336650000000002,0.0256055,0.033742,0.0416223,0.0044108,0.0039736500000000004,0.00514415,0.00566445,0.0081991,0,05_resultados\revisao_operacional\campanha_v1\j00044.mat,campanha_v1
j00045,fairness,carga_faixas,mpc_qp_estocastico_3cen,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",5.684341886080802e-14,0,1,3.9137503519661964e-15,0,0,0,0,0,53.362075521559355,52.46317606039853,60,40.530963508690554,759.1767033666786,0,0,0.04053096350869055,400,0,57.99375418000667,0.014640224412623581,860,0,0,3.751665644813329e-10,666566.4016168036,8030487551224027.0,0.0398934,0.0513556,0.05931355,0.06389405,0.088994,0.0252003,0.03978825,0.0470041,0.05157515,0.073993,0.0114681,0.01144405,0.013315500000000001,0.014626,0.0183655,0,05_resultados\revisao_operacional\campanha_v1\j00045.mat,campanha_v1
