id,group,scenario,ctrl,trial,forecast_shift,forecast_load_factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00747,montecarlo,perda_fonte,heuristico,1,0,1.1622098458688386,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4e-05,8e-06,1e-05,1.31e-05,4e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00747.mat,campanha_v1
j00748,montecarlo,perda_fonte,heuristico_foresight,1,0,1.1622098458688386,{},470.7904979390985,470.7904979390985,1,14.668607871038583,14.668607871038583,150,150,150,150,52.07847153197128,52.07847153197128,60,37.627260223134215,728.342615598371,0,0,0.037627260223134215,500,150,57.903659326366096,nan,0,nan,nan,nan,nan,nan,4.16e-05,8.4e-06,1.11e-05,2.225e-05,4.16e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00748.mat,campanha_v1
j00749,montecarlo,perda_fonte,miope_qp,1,0,1.1622098458688386,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012988,0.0005664,0.0006639,0.00084075,0.0012988,0.0010921,0.00050345,0.0005911499999999999,0.0007517,0.0010921,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00749.mat,campanha_v1
j00750,montecarlo,perda_fonte,mpc_qp_v5,1,0,1.1622098458688386,{},350.22342488059076,350.22342488059076,1,14.583491064731295,14.583491064731293,150,150,150,150,50.753284426261935,50.753284426261935,60,43.92189897525559,1479.025120477742,0,2.3333333333333335,0.043921898975255586,500,150,57.32139241708217,7.105427357601002e-15,0,0,0,2.8421709430404007e-12,333283.2021354289,4843142611315303.0,0.02265,0.029478650000000002,0.038690600000000006,0.0424307,0.093887,0.0164498,0.024580400000000002,0.03351685,0.0368009,0.0895506,0.0041871,0.0044102,0.005242800000000001,0.005659,0.0068724,0,05_resultados\revisao_operacional\campanha_v1\j00750.mat,campanha_v1
j00751,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,1,0,1.1622098458688386,{},350.00000109908996,350.00000109908996,1,14.583333334120496,14.583333334120496,150,150,150,150,40.76881746687961,40.76881746687961,60,91.34811703232185,1415.2020288230162,0,0.25,0.09134811703232185,500,150,52.33017003610605,7.105427357601002e-15,0,0,0,5.7980287238024175e-12,666566.4042708572,9686285222630616.0,0.0508351,0.061045,0.07512640000000001,0.11953285,0.1726967,0.0368226,0.04916305,0.06287785,0.1075033,0.1617753,0.0110719,0.0115185,0.0132172,0.0139079,0.0155968,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00751.mat,evento_adiantado_corrigido_v1
j00752,montecarlo,perda_fonte,heuristico,2,11,1.1113948170191208,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.81e-05,7.9e-06,1.01e-05,1.1949999999999999e-05,4.81e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00752.mat,campanha_v1
j00753,montecarlo,perda_fonte,heuristico_foresight,2,11,1.1113948170191208,{},572.2655179793035,572.2655179793035,1,14.740246249637881,14.740246249637881,150,150,150,150,54.220102564876505,54.220102564876505,60,27.454512816832032,766.4538872356594,0,0,0.027454512816832033,500,150,59.02214355275677,nan,0,nan,nan,nan,nan,nan,5.62e-05,8.3e-06,1.11e-05,1.295e-05,5.62e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00753.mat,campanha_v1
j00754,montecarlo,perda_fonte,miope_qp,2,11,1.1113948170191208,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0011721,0.0005639,0.0006705,0.0008311,0.0011721,0.001036,0.0005019499999999999,0.0005915499999999999,0.0007464500000000001,0.001036,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00754.mat,campanha_v1
j00755,montecarlo,perda_fonte,mpc_qp_v5,2,11,1.1113948170191208,{},442.62837792195586,442.62837792195586,1,14.64872624289812,14.64872624289812,150,150,150,150,53.09690021560309,53.09690021560309,60,32.789723975885515,1718.958836873728,0,2.25,0.03278972397588552,500,150,58.70905453008967,7.105427357601002e-15,0,0,0,2.179817897740577e-06,333283.2021354289,4843142611315303.0,0.0251258,0.027157149999999998,0.03273895,0.04413815,0.0521231,0.0179351,0.0224238,0.028186450000000002,0.039339650000000004,0.0468351,0.0046757,0.00433355,0.0050332499999999995,0.005250100000000001,0.0056232,0,05_resultados\revisao_operacional\campanha_v1\j00755.mat,campanha_v1
j00756,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,2,11,1.1113948170191208,{},350.0019294805853,350.0019294805853,1,14.58333469550691,14.583334695506906,150,150,150,150,43.386467824823754,43.386467824823754,60,78.91427783208799,1941.375124067226,0,0.33333333333333337,0.07891427783208799,500,150,53.6585572470185,7.105427357601002e-15,0,0,0,4.320099833421409e-12,666566.4042708572,9686285222630616.0,0.0507201,0.0658904,0.08321994999999999,0.1209924,0.2103754,0.034563,0.05339565,0.06889675,0.10690065,0.1903976,0.0134426,0.0121841,0.0144314,0.01739595,0.0291628,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00756.mat,evento_adiantado_corrigido_v1
