id,group,scenario,ctrl,weight,factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00169,pesos,perda_fonte,mpc_qp_v5,slack_load,0.1,"{""w_mpc_slack_load"": 100000000}",350.26180970117514,350.26180970117514,1,14.58351816332691,14.58351816332691,150,150,150,150,56.85133875142452,55.45780023027498,60,28.90986217540244,1687.0636985163148,0,0.16666666666666669,0.02890986217540244,500,150,59.098768380647456,0.01457081347866307,733,0,0,0.03676502569408058,333283.200808402,4015243775612013.0,0.0210826,0.02226085,0.02937155,0.034043649999999995,0.0455703,0.0151016,0.018077299999999998,0.0248789,0.0295145,0.0406028,0.0044273,0.0039004,0.0046942500000000005,0.005094049999999999,0.0096983,0,05_resultados\revisao_operacional\campanha_v1\j00169.mat,campanha_v1
j00170,pesos,carga_faixas,mpc_qp_v5,slack_load,0.1,"{""w_mpc_slack_load"": 100000000}",0.01950167810457515,0,1,5.4171328113063234e-06,0,0,0,0,0,58.809569419156304,57.391188164626065,60,19.85702071555402,358.2877733509306,0,0,0.019857020715554022,400,0,59.62724941460148,0.014627188311074235,489,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0193156,0.0196977,0.0257744,0.028568000000000003,0.0325202,0.0130686,0.0153043,0.02130635,0.0239961,0.0269563,0.0046222,0.003926600000000001,0.0047195499999999994,0.0051225,0.0066314,0,05_resultados\revisao_operacional\campanha_v1\j00170.mat,campanha_v1
j00171,pesos,perda_fonte,mpc_qp_v5,slack_load,1,"{""w_mpc_slack_load"": 1000000000}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0207793,0.024452,0.030484749999999998,0.0381619,0.0633991,0.0149902,0.0203177,0.025761850000000003,0.033283850000000004,0.0568152,0.00412,0.0038894999999999997,0.0047112000000000005,0.0052255,0.014199,0,05_resultados\revisao_operacional\campanha_v1\j00171.mat,campanha_v1
j00172,pesos,carga_faixas,mpc_qp_v5,slack_load,1,"{""w_mpc_slack_load"": 1000000000}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0189881,0.02149055,0.029134649999999998,0.0316732,0.0437766,0.0136163,0.0173565,0.0244392,0.0268286,0.0331783,0.0034912,0.0038734,0.0048638,0.0053639,0.0102754,0,05_resultados\revisao_operacional\campanha_v1\j00172.mat,campanha_v1
j00173,pesos,perda_fonte,mpc_qp_v5,slack_load,10,"{""w_mpc_slack_load"": 10000000000.0}",350.04758470917477,350.04758470917477,1,14.583366926738947,14.583366926738947,150,150,150,150,57.32964701892259,55.935908705688654,60,26.63989845447276,902.1754663975071,0,3.5000000000000004,0.02663989845447276,500,150,59.57690877899726,0.01457073451613411,733,0,0,0.018611845467376043,3332832.006730473,4015243775612013.0,0.0215137,0.02693035,0.03672195,0.04085195,0.0441962,0.0155461,0.022724300000000003,0.03191265,0.0361837,0.0399718,0.0041298,0.004018000000000001,0.00494785,0.00526005,0.0073475,0,05_resultados\revisao_operacional\campanha_v1\j00173.mat,campanha_v1
j00174,pesos,carga_faixas,mpc_qp_v5,slack_load,10,"{""w_mpc_slack_load"": 10000000000.0}",0.017980892853927344,0,1,4.994692464220282e-06,0,0,0,0,0,58.80283957027638,57.38951344532596,60,19.838369687072838,357.87297833457774,0,0,0.019838369687072838,400,0,59.62722389700043,0.014627054496457959,489,0,0,2.2737367544323206e-13,3332832.006730473,4015243775612013.0,0.0199409,0.02331995,0.0308407,0.031552949999999996,0.0354387,0.0145136,0.01914955,0.02625075,0.02698315,0.0309722,0.0038224,0.0038474,0.00464465,0.004963,0.0051327,0,05_resultados\revisao_operacional\campanha_v1\j00174.mat,campanha_v1
j00175,pesos,perda_fonte,mpc_qp_v5,slack_event,0.1,"{""w_mpc_slack_event"": 100000000}",350.0678223434594,350.0678223434594,1,14.583381213915622,14.58338121391562,150,150,150,150,57.25751041474565,55.86376618369323,60,26.98260658036431,1523.2302812932433,0,2.3333333333333335,0.026982606580364308,500,150,59.50476323868765,0.014570752361542816,733,0,0,2.2737367544323206e-12,333283.200808402,4015243775612013.0,0.0203382,0.02492455,0.0350686,0.03887385,0.0447429,0.0151185,0.020638200000000002,0.03018685,0.03327255,0.0365978,0.0036938,0.0040058,0.0049752,0.0055001500000000005,0.0125469,0,05_resultados\revisao_operacional\campanha_v1\j00175.mat,campanha_v1
j00176,pesos,carga_faixas,mpc_qp_v5,slack_event,0.1,"{""w_mpc_slack_event"": 100000000}",0.1040683246126548,0,1,2.89078679528292e-05,0,0,0,0,0,58.80541378056026,57.39108787368001,60,19.836153162547454,357.92917073243245,0,0,0.019836153162547453,400,0,59.62729802742354,0.014627977091905109,489,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0194075,0.0215627,0.0284592,0.031704949999999996,0.0401272,0.0137749,0.017370450000000003,0.023400400000000002,0.02647155,0.0348289,0.0040197,0.00395605,0.004813400000000001,0.0051825,0.0056192,0,05_resultados\revisao_operacional\campanha_v1\j00176.mat,campanha_v1
j00177,pesos,perda_fonte,mpc_qp_v5,slack_event,1,"{""w_mpc_slack_event"": 1000000000}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.020425,0.0247265,0.03355295,0.038695049999999995,0.0430299,0.0147526,0.020532250000000002,0.02849225,0.0337392,0.0383502,0.003772,0.0038885,0.0049537,0.00551695,0.0172452,0,05_resultados\revisao_operacional\campanha_v1\j00177.mat,campanha_v1
j00178,pesos,carga_faixas,mpc_qp_v5,slack_event,1,"{""w_mpc_slack_event"": 1000000000}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0198068,0.0218514,0.0289931,0.0311664,0.0374268,0.0141248,0.017581350000000003,0.02438305,0.0260339,0.032143,0.0041333,0.00404315,0.0048435,0.0052216,0.0068046,0,05_resultados\revisao_operacional\campanha_v1\j00178.mat,campanha_v1
