id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00457,plant_sensitivity,perda_fonte,heuristico,"{""SOC_initial"": 30, ""tau_b"": 1}",515.545748527149,515.545748527149,1,14.656080421691998,14.656080421691998,150,150,150,37,29.26129789374743,27.81705737971979,31.317908672579087,31.1666709390115,950,0,0,0.0311666709390115,500,150,31.317908672579087,nan,0,nan,nan,nan,nan,nan,4.8e-05,8.2e-06,9.35e-06,1.07e-05,4.8e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00457.mat,campanha_v1
j00458,plant_sensitivity,perda_fonte,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 1}",352.85463020931036,352.85463020931036,1,14.584587766249404,14.584587766249404,150,150,150,33,28.786684834755974,27.34761830585587,31.241462036614198,32.60380280275601,950,0,0,0.03260380280275601,500,150,30.894629841824923,nan,0,nan,nan,nan,nan,nan,4.64e-05,9e-06,1.05e-05,1.775e-05,4.64e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00458.mat,campanha_v1
j00459,plant_sensitivity,perda_fonte,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 1}",547.151088509795,547.151088509795,1,14.669969008265682,14.669969008265678,150,150,150,37,29.23212119518198,27.79075824303367,31.319354914685587,31.290928226314048,1064.0191021958278,0,12.333333333333334,0.031290928226314046,500,150,31.319354914685587,nan,0,nan,nan,nan,nan,nan,0.0013988,0.0005386,0.00069125,0.0009201000000000001,0.0067473,0.0012434,0.0004689,0.00060885,0.00078865,0.0066348,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00459.mat,campanha_v1
j00460,plant_sensitivity,perda_fonte,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 1}",350.00499625313813,350.00499625313813,1,14.583335528880554,14.583335528880552,150,150,150,150,28.215898885827656,26.82037740207719,31.147991366878415,33.943076072958405,1686.1033572320748,0,1.25,0.033943076072958406,500,150,30.441992685318557,0.11944212912977648,1096,0,0,0.0023870766158893275,333283.200808402,4065633976278518.5,0.0247477,0.0285947,0.0344757,0.0401361,0.0684398,0.018896,0.0235801,0.028261,0.03469485,0.0415304,0.004132,0.0046485499999999996,0.00594095,0.0071969,0.0377378,0,05_resultados\revisao_operacional\campanha_v1\j00460.mat,campanha_v1
j00461,plant_sensitivity,perda_fonte,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 1}",350.0000002960781,350.0000002960781,1,14.583333333478214,14.583333333478212,150,150,150,150,20.002969909227613,20.002969909227613,30,47.48589293116944,1992.7546167046953,0,0.25,0.047485892931169435,500,150,26.417572155828303,0.12643481390550093,59,0,0,2.8421709430404007e-13,666566.4042708572,8976283259123858.0,0.0504921,0.0517399,0.07894955000000001,0.1030747,0.1657626,0.0358013,0.0399331,0.0670605,0.09186425000000001,0.1541589,0.0115621,0.011381800000000001,0.01292365,0.01383545,0.0170922,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00461.mat,evento_adiantado_corrigido_v1
j00462,plant_sensitivity,multi_burst,heuristico,"{""SOC_initial"": 30, ""tau_b"": 1}",110.3638323514327,110.3638323514327,1,0.17782621597119055,0.1762537019640896,23,3,3,0,35.2277651087326,30,35.2277651087326,43.0180959504791,2350,0,0,0.0430180959504791,,,,nan,0,nan,nan,nan,nan,nan,4.67e-05,8.2e-06,9.5e-06,1.0399999999999999e-05,4.67e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00462.mat,campanha_v1
j00463,plant_sensitivity,multi_burst,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 1}",36.787944117144235,36.787944117144235,1,0.03374327630111278,0.032631929255121365,11,0,0,0,34.119170224600786,30,34.119170224600786,41.49222711090363,2250,0,0,0.041492227110903626,,,,nan,0,nan,nan,nan,nan,nan,4.61e-05,9e-06,1.03e-05,2.05e-05,4.61e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00463.mat,campanha_v1
j00464,plant_sensitivity,multi_burst,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 1}",133.72941121983592,133.72941121983592,1,0.1262329666799876,0.12622931126700693,6,3,3,0,31.341012568763215,29.99395328899493,31.341012568763215,22.7323578124246,2801.038657593759,0,0,0.022732357812424598,,,,nan,0,nan,nan,nan,nan,nan,0.0010605,0.0005336,0.0007694500000000001,0.0010626,0.0015315,0.000915,0.0004614,0.0006769,0.0009159999999999999,0.0012902,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00464.mat,campanha_v1
j00465,plant_sensitivity,multi_burst,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 1}",0.017985226638103313,0,1,1.6841653604264322e-05,0,0,0,0,0,29.406346380666147,28.3206070734214,30.412983514650453,24.044782444325268,1250.007594563324,0,0,0.024044782444325268,,,,0.044626806100186656,2536,0,0,5.6843418860808015e-12,333283.200808402,4065633976278518.5,0.0254628,0.0259372,0.03131885,0.034560850000000004,0.040243,0.0187258,0.021038550000000003,0.025821,0.02872775,0.0329653,0.0045674,0.00451265,0.005341,0.0063510500000000004,0.0093449,0,05_resultados\revisao_operacional\campanha_v1\j00465.mat,campanha_v1
j00466,plant_sensitivity,multi_burst,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 1}",5.684341886080802e-14,0,1,3.7353453663513395e-15,0,0,0,0,0,23.383369636343758,22.400660289624472,30.17703524896781,43.81060801667818,2512.9945579938544,0,0,0.04381060801667818,,,,0.10134817797376883,3554,0,0,1.2710188457276672e-09,666566.4016168036,8131267952557030.0,0.050831,0.0534622,0.06279285,0.07335155,0.1149847,0.0352796,0.040043499999999996,0.048177,0.0596281,0.0950799,0.0131899,0.01298275,0.0148499,0.017485599999999997,0.0497485,0,05_resultados\revisao_operacional\campanha_v1\j00466.mat,campanha_v1
j00467,plant_sensitivity,perda_fonte,heuristico,"{""SOC_initial"": 30, ""tau_b"": 2}",622.938796870685,622.938796870685,1,14.776020093650432,14.776020093650432,150,150,150,150,29.259669194028668,27.82379055097922,31.315376612837742,31.065324614286737,950,0,0,0.031065324614286738,500,150,31.315376612837742,nan,0,nan,nan,nan,nan,nan,4.19e-05,8.2e-06,9.4e-06,1.285e-05,4.19e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00467.mat,campanha_v1
j00468,plant_sensitivity,perda_fonte,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 2}",362.46619205751426,362.46619205751426,1,14.592134098151652,14.592134098151652,150,150,150,150,28.784886082104414,27.353572998012528,31.239895630414544,32.51902573815371,950,0,0,0.032519025738153705,500,150,30.9156552152031,nan,0,nan,nan,nan,nan,nan,4.57e-05,9.1e-06,1.07e-05,1.64e-05,5.07e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00468.mat,campanha_v1
j00469,plant_sensitivity,perda_fonte,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 2}",642.611580563883,642.611580563883,1,14.789908500134693,14.789908500134691,150,150,150,150,29.241508834560697,27.80175024765932,31.319276106573003,31.22948305865238,1390.0006732832708,0,0,0.03122948305865238,500,150,31.319276106573003,nan,0,nan,nan,nan,nan,nan,0.0013819,0.00053395,0.0007034999999999999,0.0008910000000000001,0.0033692,0.0012346,0.0004612,0.0006224,0.0007781999999999999,0.0012346,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00469.mat,campanha_v1
j00470,plant_sensitivity,perda_fonte,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 2}",350.18176396315994,350.18176396315994,1,14.583461653361605,14.583461653361601,150,150,150,150,28.439341543154846,27.045476406767477,31.146944849820603,33.1136403405697,1662.0367601499927,0,2.5,0.033113640340569704,500,150,30.686451341222106,0.122655519621226,1731,0,0,5.229570496112501e-05,333283.200808402,4015243775612013.0,0.0292992,0.0293075,0.03317185,0.04270965,0.1022764,0.0231471,0.02443685,0.028111450000000003,0.0377282,0.0978373,0.0043263,0.0043983500000000005,0.00510915,0.00553635,0.0096109,0,05_resultados\revisao_operacional\campanha_v1\j00470.mat,campanha_v1
j00471,plant_sensitivity,perda_fonte,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 2}",350.00017643230194,350.00017643230194,1,14.583333457901366,14.583333457901364,150,150,150,150,20.002702341870457,20.002702341870457,30,47.48716387611536,1675.4481312217133,0,0.08333333333333334,0.04748716387611536,500,150,26.4177753624813,0.12229506330163531,57,0,0,0.0010108926973089183,666566.4042708572,8858386386927326.0,0.0527174,0.0548245,0.0789488,0.11116770000000001,0.1530459,0.0389789,0.04300455,0.0673672,0.09902705,0.1416471,0.0108792,0.011346450000000001,0.0129784,0.01401405,0.0186399,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00471.mat,evento_adiantado_corrigido_v1
j00472,plant_sensitivity,multi_burst,heuristico,"{""SOC_initial"": 30, ""tau_b"": 2}",181.95919791379004,181.95919791379004,1,0.4710111084241515,0.4684848206962306,51,11,6,0,35.22388724230987,30,35.22388724230987,42.61581891508794,2350,0,0,0.04261581891508794,,,,nan,0,nan,nan,nan,nan,nan,4.19e-05,8.3e-06,9.4e-06,1.48e-05,4.19e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00472.mat,campanha_v1
j00473,plant_sensitivity,multi_burst,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 2}",60.653065971263345,60.653065971263345,1,0.09553949469919219,0.09324819045382668,30,2,0,0,34.113779278564394,30,34.113779278564394,41.23737834555869,2250,0,0,0.04123737834555869,,,,nan,0,nan,nan,nan,nan,nan,4.74e-05,9.4e-06,1.05e-05,1.7199999999999998e-05,4.74e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00473.mat,campanha_v1
