id,group,scenario,ctrl,forecast_shift,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00199,timing,perda_fonte,heuristico,-20,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,9.95e-05,8.2e-06,1.06e-05,1.785e-05,0.0003014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00199.mat,campanha_v1
j00200,timing,perda_fonte,heuristico_foresight,-20,{},350.00056596354943,350.00056596354943,1,14.583333732886949,14.583333732886949,150,150,150,150,57.073806785790296,55.64249370169842,60,28.231381675310494,850,0,0,0.028231381675310495,500,150,59.206428627365796,nan,0,nan,nan,nan,nan,nan,7.3e-05,9.1e-06,1.19e-05,3.68e-05,0.0003687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00200.mat,campanha_v1
j00201,timing,perda_fonte,miope_qp,-20,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.001237,0.0006063500000000001,0.0007263,0.00098065,0.0137125,0.0010639,0.0005365999999999999,0.0006364999999999999,0.0008708,0.0127584,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00201.mat,campanha_v1
j00202,timing,perda_fonte,mpc_qp_v5,-20,{},350.0000077437967,350.0000077437967,1,14.583333338820331,14.583333338820331,150,150,150,150,56.79947351473136,55.40572719668943,60,29.158302752787787,1768.8258923010928,0,2.3333333333333335,0.029158302752787787,500,150,59.04673424822603,0.014570789502421633,733,0,0,0.004392504020813703,333283.200808402,4015243775612013.0,0.0212391,0.02511245,0.03232285,0.0402539,0.0681037,0.0152922,0.02077105,0.0275685,0.035889950000000004,0.0625652,0.0043217,0.004042850000000001,0.0046668000000000005,0.00517985,0.0079967,0,05_resultados\revisao_operacional\campanha_v1\j00202.mat,campanha_v1
j00203,timing,perda_fonte,mpc_qp_estocastico_3cen,-20,{},350.0000000441902,350.0000000441902,1,14.583333333376174,14.583333333376173,150,150,150,150,49.18944666227664,49.18944666227664,60,51.3501283541858,2154.8367623949066,0,0.16666666666666669,0.0513501283541858,500,150,55.98561165430024,0.1243114299775101,57,0,0,0.004629179280129847,666566.4042708572,8858386386927326.0,0.0474941,0.0535076,0.07945035,0.1185374,0.1608475,0.0326498,0.0413291,0.06677274999999999,0.10595335,0.1493997,0.0120262,0.011831850000000001,0.01331775,0.0148486,0.0288956,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00203.mat,evento_adiantado_corrigido_v1
j00204,timing,perda_fonte,heuristico,-19,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4e-05,8e-06,1.04e-05,1.54e-05,4e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00204.mat,campanha_v1
j00205,timing,perda_fonte,heuristico_foresight,-19,{},350.0009331161424,350.0009331161424,1,14.583333992085878,14.583333992085878,150,150,150,150,57.097198598655794,55.66588551456392,60,28.12027056419938,850,0,0,0.02812027056419938,500,150,59.229820385663096,nan,0,nan,nan,nan,nan,nan,4.76e-05,8.9e-06,1.16e-05,2.2499999999999998e-05,4.76e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00205.mat,campanha_v1
j00206,timing,perda_fonte,miope_qp,-19,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012811,0.0005858,0.00067325,0.0008665000000000001,0.0012811,0.0011332,0.0005211,0.0005933,0.0007714,0.0011332,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00206.mat,campanha_v1
j00207,timing,perda_fonte,mpc_qp_v5,-19,{},350.0000051652537,350.0000051652537,1,14.583333337000036,14.583333337000035,150,150,150,150,56.804351387997826,55.41060509215233,60,29.135132632515354,1540.8431100621353,0,2.25,0.029135132632515354,500,150,59.0516121449499,0.014570789106890913,733,0,0,0.004329353967648331,333283.200808402,4015243775612013.0,0.0229108,0.0253037,0.0323661,0.039679,0.0489949,0.0159204,0.0209487,0.02754945,0.035098950000000004,0.0447264,0.0052671,0.0040606,0.00477975,0.0051265,0.0055185,0,05_resultados\revisao_operacional\campanha_v1\j00207.mat,campanha_v1
j00208,timing,perda_fonte,mpc_qp_estocastico_3cen,-19,{},350.0000000011361,350.0000000011361,1,14.58333333334571,14.583333333345708,150,150,150,150,49.07006446819243,49.07006446819243,60,51.917193776085384,831.9827345896824,0,0,0.051917193776085384,500,150,55.86622944431259,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0473485,0.0534576,0.06729265000000001,0.11078455000000001,0.1217908,0.032497,0.041226399999999996,0.0544028,0.09814895,0.1101004,0.0118913,0.01178155,0.012723499999999999,0.0134682,0.0228729,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00208.mat,evento_adiantado_corrigido_v1
j00209,timing,perda_fonte,heuristico,-18,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.86e-05,7.9e-06,1.02e-05,1.35e-05,4.44e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00209.mat,campanha_v1
j00210,timing,perda_fonte,heuristico_foresight,-18,{},350.001538448432,350.001538448432,1,14.583334419432662,14.583334419432662,150,150,150,150,57.12059041152129,55.689277327429416,60,28.00915945308827,850,0,0,0.02800915945308827,500,150,59.25321210856085,nan,0,nan,nan,nan,nan,nan,4.35e-05,9e-06,1.17e-05,1.48e-05,4.35e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00210.mat,campanha_v1
j00211,timing,perda_fonte,miope_qp,-18,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012044,0.000585,0.000761,0.0009477,0.0012044,0.0010664,0.0005208,0.00065905,0.0008485,0.0010664,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00211.mat,campanha_v1
j00212,timing,perda_fonte,mpc_qp_v5,-18,{},350.0000085155741,350.0000085155741,1,14.58333333936542,14.583333339365417,150,150,150,150,56.81952952782349,55.42578330104927,60,29.063035776721545,1642.431511243615,0,2.083333333333333,0.029063035776721546,500,150,59.066790356080226,0.014570787876138525,733,0,0,0.004328680073740543,333283.200808402,4015243775612013.0,0.0210718,0.02520235,0.03283125,0.0408486,0.0493923,0.0155078,0.0208846,0.0278401,0.0360451,0.0445702,0.0039662,0.00411565,0.00483905,0.00517065,0.0078974,0,05_resultados\revisao_operacional\campanha_v1\j00212.mat,campanha_v1
j00213,timing,perda_fonte,mpc_qp_estocastico_3cen,-18,{},350.0000000015305,350.0000000015305,1,14.583333333346069,14.583333333346067,150,150,150,150,49.08762501384482,49.08762501384482,60,51.83378118423686,831.9827337797186,0,0,0.051833781184236864,500,150,55.88378999230513,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0468269,0.05354475,0.06633775,0.11106235,0.1219904,0.0329281,0.0413752,0.05428165,0.09853605,0.1096287,0.0114648,0.0117567,0.012657149999999999,0.01314345,0.0149444,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00213.mat,evento_adiantado_corrigido_v1
j00214,timing,perda_fonte,heuristico,-17,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.11e-05,8.2e-06,1.06e-05,1.63e-05,5.83e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00214.mat,campanha_v1
j00215,timing,perda_fonte,heuristico_foresight,-17,{},350.0025364726537,350.0025364726537,1,14.5833351240084,14.5833351240084,150,150,150,150,57.14398222438679,55.71266914029491,60,27.89804834197716,850.0000000000001,0,0,0.02789804834197716,500,150,59.276603773094614,nan,0,nan,nan,nan,nan,nan,4.58e-05,9.1e-06,1.14e-05,1.57e-05,4.96e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00215.mat,campanha_v1
j00216,timing,perda_fonte,miope_qp,-17,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012433,0.00060695,0.00071745,0.00085395,0.0012433,0.0011027,0.0005403999999999999,0.00063335,0.0007546499999999999,0.0011027,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00216.mat,campanha_v1
j00217,timing,perda_fonte,mpc_qp_v5,-17,{},350.0000137305979,350.0000137305979,1,14.583333343047236,14.583333343047235,150,150,150,150,56.84528887312141,55.45154276358425,60,28.940677712643534,1687.0879707286786,0,2.083333333333333,0.028940677712643536,500,150,59.09254982247555,0.014570785787384466,733,0,0,0.0034725146948630936,333283.200808402,4015243775612013.0,0.0206751,0.026714799999999997,0.03395075,0.04099865,0.0515347,0.0149321,0.0217672,0.028867249999999997,0.03611705,0.0462475,0.0041974,0.004652750000000001,0.00515615,0.0053555,0.0060917,0,05_resultados\revisao_operacional\campanha_v1\j00217.mat,campanha_v1
