id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,recovery_event_starts_s,recovery_s,SOC_at_events
j00547,windows,diploee_facility_window01,heuristico,{},4.810456071489199,4.810456071489199,1,0.0996092524947815,0.09319229021047026,199,0,0,0,58.44617038008592,58.44617038008592,60,7.38069069459149,393.1312200600778,0,0,0.00738069069459149,nan,0,nan,nan,nan,nan,nan,4.88e-05,8.1e-06,9.75e-06,1.685e-05,4.88e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00547.mat,campanha_v1,,,
j00548,windows,diploee_facility_window01,heuristico_foresight,{},4.808090582831625,4.808090582831625,1,0.09814758798362416,0.09157842101921512,197,0,0,0,58.44291001868436,58.44291001868436,60,7.396177411249016,393.1312200600778,0,0,0.007396177411249016,nan,0,nan,nan,nan,nan,nan,5.09e-05,9.1e-06,1.025e-05,1.41e-05,5.09e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00548.mat,campanha_v1,,,
j00549,windows,diploee_facility_window01,miope_qp,{},6.931318745273529e-05,0,1,5.809880826903035e-06,0,0,0,0,0,58.39171760591652,58.39171760591652,60.06397564949811,9.405581409853406,564.8924549729214,0,0,0.009405581409853406,nan,0,nan,nan,nan,nan,nan,0.0012698,0.0006006,0.0007260999999999999,0.00091785,0.0012698,0.0011152,0.0005337,0.0006456,0.00082255,0.0011152,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00549.mat,campanha_v1,,,
j00550,windows,diploee_facility_window01,mpc_qp_v5,{},0.004791089564832873,0,1,3.811020500607781e-06,0,0,0,0,0,57.69298280942389,57.69298280942389,60,10.95861031485678,287.41292970894546,0,0,0.01095861031485678,4.327250181290765e-06,1582,0,0,7.958078640513122e-13,333283.200808402,4015243775612013.0,0.022096,0.0203203,0.03359785,0.03542545,0.040393,0.0160306,0.0155814,0.028752800000000002,0.030300149999999998,0.0330031,0.0042009,0.0042828,0.005088199999999999,0.0057726,0.0092344,0,05_resultados\revisao_operacional\campanha_v1\j00550.mat,campanha_v1,,,
j00551,windows,diploee_facility_window01,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.585146402218903e-15,0,0,0,0,0,50.89206871393185,50.89206871393185,60,44.30209478320412,1545.1408629340062,0,0,0.04430209478320412,0.03184844913103291,3766,0,0,1.546140993013978e-10,666566.4042708572,8858386386927326.0,0.0540781,0.06124975,0.0707791,0.07887654999999999,0.1019657,0.0382135,0.0478109,0.056574650000000004,0.061445,0.0825185,0.0123254,0.01267835,0.01505395,0.0194561,0.0286388,0,05_resultados\revisao_operacional\campanha_v1\j00551.mat,campanha_v1,,,
j00552,windows,diploee_facility_window02,heuristico,{},8.021920661150972,8.021920661150972,1,0.2878923347839285,0.2563693224929375,213,0,0,0,58.67025567635152,58.221451498768744,60,18.93353764787096,1431.651209598604,0,0,0.01893353764787096,nan,0,nan,nan,nan,nan,nan,4.46e-05,8.1e-06,9.6e-06,1.6349999999999998e-05,4.46e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00552.mat,campanha_v1,,,
j00553,windows,diploee_facility_window02,heuristico_foresight,{},8.02170230377763,8.02170230377763,1,0.17028102178284707,0.138795527136806,153,0,0,0,58.464948973731566,58.01614479614879,60,17.903887581555882,1431.651209598604,0,0,0.01790388758155588,nan,0,nan,nan,nan,nan,nan,5.59e-05,9e-06,1.09e-05,2.2199999999999998e-05,5.59e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00553.mat,campanha_v1,,,
j00554,windows,diploee_facility_window02,miope_qp,{},6.883591410655754e-05,0,1,8.23052439534739e-06,0,0,0,0,0,58.193350553265915,57.88030299373228,60.05842001075586,17.363119103210487,1224.5489810457348,0,0,0.017363119103210485,nan,0,nan,nan,nan,nan,nan,0.0012794,0.0005952,0.0007912,0.00096795,0.0012794,0.0011373,0.0005281999999999999,0.00069845,0.0008818000000000001,0.0011373,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00554.mat,campanha_v1,,,
j00555,windows,diploee_facility_window02,mpc_qp_v5,{},0.6222886821865021,0,1,0.00019104365661891276,0,0,0,0,0,56.84642824302722,56.561562098505,60.000084061191856,19.093385001472733,942.995936704528,0,0,0.019093385001472733,0.017491189282480946,3759,0,0,4.888534022029489e-12,333283.200808402,4015243775612013.0,0.0229127,0.027777549999999998,0.035309,0.03827285,0.0420389,0.0158782,0.02293655,0.030393,0.033177200000000004,0.0369593,0.0043796,0.0042719,0.0051906,0.0057232,0.0069346,0,05_resultados\revisao_operacional\campanha_v1\j00555.mat,campanha_v1,,,
j00556,windows,diploee_facility_window02,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.08716993505815e-15,0,0,0,0,0,47.595985976658426,47.595985976658426,60,60.03949943752307,2191.3083830968626,0,0,0.06003949943752307,0.04032990643347034,2818,0,0,2.7341684472048655e-10,666566.4042708572,8858386386927326.0,0.0557358,0.0612481,0.0713932,0.0794033,0.09777,0.0383522,0.0474481,0.0566421,0.061362150000000004,0.0687166,0.0139802,0.0129314,0.0171874,0.0213,0.0439987,0,05_resultados\revisao_operacional\campanha_v1\j00556.mat,campanha_v1,,,
