ctrl,reference,metric,n,tolerance,mean_difference,median_difference,ci95_mean_low,ci95_mean_high,higher,lower,ties,higher_frequency,higher_binomial_ci95_low,higher_binomial_ci95_high
heuristico,mpc_qp_v5,P_raw_kW,200,0.001,233.5601305257891,242.45553414331292,228.58478840895296,237.81475046731714,200,0,0,1.0,0.9817246596448638,1
heuristico,mpc_qp_v5,E_raw_kWh,200,1e-06,0.16323734397211276,0.16865491920674103,0.15974407554539452,0.16619785957567554,200,0,0,1.0,0.9817246596448638,1
heuristico,mpc_qp_v5,SOC_final,200,1e-06,2.941285894410705,1.0826002415959053,2.596485308550406,3.29019132278544,200,0,0,1.0,0.9817246596448638,1
heuristico,mpc_qp_v5,throughput_kWh,200,1e-06,-7.3100397953157135,-4.33466612908202,-8.226540253808334,-6.417968469985758,11,189,0,0.055,0.027772254552006537,0.09627764443391285
heuristico_foresight,heuristico,P_raw_kW,200,0.001,-177.2575662285209,-218.30918862576195,-188.15254464946187,-166.3466938216236,0,200,0,0.0,0,0.018275340355136237
heuristico_foresight,heuristico,E_raw_kWh,200,1e-06,-0.1251386265707394,-0.15411986418216195,-0.13283016078912485,-0.11743587166589405,0,200,0,0.0,0,0.018275340355136237
heuristico_foresight,heuristico,SOC_final,200,1e-06,-2.125756058885278,-0.5618849355102142,-2.4322822809146474,-1.826284711485427,0,200,0,0.0,0,0.018275340355136237
heuristico_foresight,heuristico,throughput_kWh,200,1e-06,4.076776393852557,2.1787933365088463,3.3592302177334736,4.784886486657361,181,19,0,0.905,0.8556233600231474,0.9418303902748797
heuristico_foresight,mpc_qp_v5,P_raw_kW,200,0.001,56.3025642972682,20.357467081377365,46.58194293920845,66.38148195792499,200,0,0,1.0,0.9817246596448638,1
heuristico_foresight,mpc_qp_v5,E_raw_kWh,200,1e-06,0.03809871740137334,0.013546659698619123,0.0311006264329147,0.045325752628543124,159,41,0,0.795,0.7323460792147148,0.8486894280044806
heuristico_foresight,mpc_qp_v5,SOC_final,200,1e-06,0.8155298355254271,0.5173584751873221,0.7561395040897891,0.8731721881080496,200,0,0,1.0,0.9817246596448638,1
heuristico_foresight,mpc_qp_v5,throughput_kWh,200,1e-06,-3.2332634014631565,-2.3196107289731938,-3.5927090576666867,-2.8559473057073346,15,185,0,0.075,0.042582803737092646,0.1206842253996613
miope_qp,heuristico,P_raw_kW,200,0.001,-0.0006405959480844103,-0.0006405959480844103,-0.0006405959480844103,-0.0006405959480844103,0,0,200,0.0,0,0.018275340355136237
