id,event_start_s,recovery_s,source
j00001,400,10,05_resultados\revisao_operacional\campanha_v1\j00001.mat
j00002,400,4,05_resultados\revisao_operacional\campanha_v1\j00002.mat
j00003,400,2,05_resultados\revisao_operacional\campanha_v1\j00003.mat
j00004,400,0,05_resultados\revisao_operacional\campanha_v1\j00004.mat
j00005,400,0,05_resultados\revisao_operacional\campanha_v1\j00005.mat
j00006,200,10,05_resultados\revisao_operacional\campanha_v1\j00006.mat
j00007,200,4,05_resultados\revisao_operacional\campanha_v1\j00007.mat
j00008,200,2,05_resultados\revisao_operacional\campanha_v1\j00008.mat
j00009,200,0,05_resultados\revisao_operacional\campanha_v1\j00009.mat
j00010,200,0,05_resultados\revisao_operacional\campanha_v1\j00010.mat
j00011,500,150,05_resultados\revisao_operacional\campanha_v1\j00011.mat
j00012,500,150,05_resultados\revisao_operacional\campanha_v1\j00012.mat
j00013,500,150,05_resultados\revisao_operacional\campanha_v1\j00013.mat
j00014,500,150,05_resultados\revisao_operacional\campanha_v1\j00014.mat
j00015,500,150,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00015.mat
j00016,400,250,05_resultados\revisao_operacional\campanha_v1\j00016.mat
j00017,400,250,05_resultados\revisao_operacional\campanha_v1\j00017.mat
j00018,400,250,05_resultados\revisao_operacional\campanha_v1\j00018.mat
j00019,400,250,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00020,400,250,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00020.mat
j00021,220,10,05_resultados\revisao_operacional\campanha_v1\j00021.mat
j00021,340,10,05_resultados\revisao_operacional\campanha_v1\j00021.mat
j00021,700,10,05_resultados\revisao_operacional\campanha_v1\j00021.mat
j00022,220,4,05_resultados\revisao_operacional\campanha_v1\j00022.mat
j00022,340,4,05_resultados\revisao_operacional\campanha_v1\j00022.mat
j00022,700,4,05_resultados\revisao_operacional\campanha_v1\j00022.mat
j00023,220,2,05_resultados\revisao_operacional\campanha_v1\j00023.mat
j00023,340,2,05_resultados\revisao_operacional\campanha_v1\j00023.mat
j00023,700,2,05_resultados\revisao_operacional\campanha_v1\j00023.mat
j00024,220,0,05_resultados\revisao_operacional\campanha_v1\j00024.mat
j00024,340,0,05_resultados\revisao_operacional\campanha_v1\j00024.mat
j00024,700,0,05_resultados\revisao_operacional\campanha_v1\j00024.mat
j00025,220,0,05_resultados\revisao_operacional\campanha_v1\j00025.mat
j00025,340,0,05_resultados\revisao_operacional\campanha_v1\j00025.mat
j00025,700,0,05_resultados\revisao_operacional\campanha_v1\j00025.mat
j00026,979,43,05_resultados\revisao_operacional\campanha_v1\j00026.mat
j00027,979,43,05_resultados\revisao_operacional\campanha_v1\j00027.mat
j00028,979,0,05_resultados\revisao_operacional\campanha_v1\j00028.mat
j00029,979,0,05_resultados\revisao_operacional\campanha_v1\j00029.mat
j00030,979,0,05_resultados\revisao_operacional\campanha_v1\j00030.mat
j00031,290,nan,05_resultados\revisao_operacional\campanha_v1\j00031.mat
j00031,296,nan,05_resultados\revisao_operacional\campanha_v1\j00031.mat
j00031,311,nan,05_resultados\revisao_operacional\campanha_v1\j00031.mat
j00031,437,nan,05_resultados\revisao_operacional\campanha_v1\j00031.mat
j00031,1141,nan,05_resultados\revisao_operacional\campanha_v1\j00031.mat
j00032,290,1.0,05_resultados\revisao_operacional\campanha_v1\j00032.mat
j00032,296,0.0,05_resultados\revisao_operacional\campanha_v1\j00032.mat
j00032,311,nan,05_resultados\revisao_operacional\campanha_v1\j00032.mat
j00032,437,nan,05_resultados\revisao_operacional\campanha_v1\j00032.mat
j00032,1141,nan,05_resultados\revisao_operacional\campanha_v1\j00032.mat
j00033,290,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat
j00033,296,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat
j00033,311,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat
j00033,437,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat
j00033,1141,0,05_resultados\revisao_operacional\campanha_v1\j00033.mat
j00034,290,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat
j00034,296,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat
j00034,311,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat
j00034,437,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat
j00034,1141,0,05_resultados\revisao_operacional\campanha_v1\j00034.mat
j00035,290,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat
j00035,296,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat
j00035,311,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat
j00035,437,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat
j00035,1141,0,05_resultados\revisao_operacional\campanha_v1\j00035.mat
j00036,400,10,05_resultados\revisao_operacional\campanha_v1\j00036.mat
j00037,400,4,05_resultados\revisao_operacional\campanha_v1\j00037.mat
j00038,400,2,05_resultados\revisao_operacional\campanha_v1\j00038.mat
j00039,400,0,05_resultados\revisao_operacional\campanha_v1\j00039.mat
j00040,400,0,05_resultados\revisao_operacional\campanha_v1\j00040.mat
j00041,400,10,05_resultados\revisao_operacional\campanha_v1\j00041.mat
j00042,400,4,05_resultados\revisao_operacional\campanha_v1\j00042.mat
j00043,400,1,05_resultados\revisao_operacional\campanha_v1\j00043.mat
j00044,400,0,05_resultados\revisao_operacional\campanha_v1\j00044.mat
j00045,400,0,05_resultados\revisao_operacional\campanha_v1\j00045.mat
j00046,400,10,05_resultados\revisao_operacional\campanha_v1\j00046.mat
j00047,400,4,05_resultados\revisao_operacional\campanha_v1\j00047.mat
j00048,400,0,05_resultados\revisao_operacional\campanha_v1\j00048.mat
j00049,400,0,05_resultados\revisao_operacional\campanha_v1\j00049.mat
j00050,400,0,05_resultados\revisao_operacional\campanha_v1\j00050.mat
j00051,400,0,05_resultados\revisao_operacional\campanha_v1\j00051.mat
j00052,400,1,05_resultados\revisao_operacional\campanha_v1\j00052.mat
