t_s,P_kW,power_normalized
0.000000000000000000e+00,6.536047512615172081e+02,1.531564321757635516e-01
1.000000000000000000e+00,6.527113387404918967e+02,1.506038249728339218e-01
2.000000000000000000e+00,6.518179262194666990e+02,1.480512177699049026e-01
3.000000000000000000e+00,6.509245136984413875e+02,1.454986105669752727e-01
4.000000000000000000e+00,6.500311011774161898e+02,1.429460033640462535e-01
5.000000000000000000e+00,6.491376886563907647e+02,1.403933961611166237e-01
6.000000000000000000e+00,6.482442761353654532e+02,1.378407889581870216e-01
7.000000000000000000e+00,6.473508636143402555e+02,1.352881817552579746e-01
8.000000000000000000e+00,6.464574510933149440e+02,1.327355745523283725e-01
9.000000000000000000e+00,6.455640385722895189e+02,1.301829673493987427e-01
1.000000000000000000e+01,6.446706260512644349e+02,1.276303601464697235e-01
1.100000000000000000e+01,6.437772135302390097e+02,1.250777529435400937e-01
1.200000000000000000e+01,6.428838010092139257e+02,1.225251457406110744e-01
1.300000000000000000e+01,6.419903884881885006e+02,1.199725385376814585e-01
1.400000000000000000e+01,6.410969759671631891e+02,1.174199313347518425e-01
1.500000000000000000e+01,6.402035634461379914e+02,1.148673241318228094e-01
1.600000000000000000e+01,6.393101509251125663e+02,1.123147169288931935e-01
1.700000000000000000e+01,6.384167384040874822e+02,1.097621097259641604e-01
1.800000000000000000e+01,6.375233258830620571e+02,1.072095025230345444e-01
1.900000000000000000e+01,6.366299133620367456e+02,1.046568953201049285e-01
2.000000000000000000e+01,6.357365008410115479e+02,1.021042881171758954e-01
2.100000000000000000e+01,6.348430883199862365e+02,9.955168091424627941e-02
2.200000000000000000e+01,6.339496757989608113e+02,9.699907371131666345e-02
2.300000000000000000e+01,6.330562632779356136e+02,9.444646650838763036e-02
2.400000000000000000e+01,6.321628507569103022e+02,9.189385930545801440e-02
2.500000000000000000e+01,6.312694382358851044e+02,8.934125210252898130e-02
2.600000000000000000e+01,6.303760257148597930e+02,8.678864489959936535e-02
2.700000000000000000e+01,6.294826131938343678e+02,8.423603769666974939e-02
2.800000000000000000e+01,6.285892006728092838e+02,8.168343049374071629e-02
2.900000000000000000e+01,6.276957881517838587e+02,7.913082329081110033e-02
3.000000000000000000e+01,6.268023756307585472e+02,7.657821608788148438e-02
3.100000000000000000e+01,6.259089631097333495e+02,7.402560888495245128e-02
3.200000000000000000e+01,6.250155505887080380e+02,7.147300168202283532e-02
3.300000000000000000e+01,6.241221380676828403e+02,6.892039447909380223e-02
3.400000000000000000e+01,6.232287255466574152e+02,6.636778727616418627e-02
3.500000000000000000e+01,6.223353130256321037e+02,6.381518007323457031e-02
