t_s,P_kW,power_normalized
0.000000000000000000e+00,8.012335698309232157e+02,5.749530566597808035e-01
1.000000000000000000e+00,8.017222268757816437e+02,5.763492196450905602e-01
2.000000000000000000e+00,8.022108839206401854e+02,5.777453826304004281e-01
3.000000000000000000e+00,8.026995409654986133e+02,5.791415456157102959e-01
4.000000000000000000e+00,8.031881980103570413e+02,5.805377086010200527e-01
5.000000000000000000e+00,8.036768550552154693e+02,5.819338715863299205e-01
6.000000000000000000e+00,8.041655121000742383e+02,5.833300345716407875e-01
7.000000000000000000e+00,8.046541691449326663e+02,5.847261975569505443e-01
8.000000000000000000e+00,8.051428261897910943e+02,5.861223605422604122e-01
9.000000000000000000e+00,8.056314832346496360e+02,5.875185235275702800e-01
1.000000000000000000e+01,8.061201402795080639e+02,5.889146865128801478e-01
1.100000000000000000e+01,8.066087973243664919e+02,5.903108494981899046e-01
1.200000000000000000e+01,8.070974543692249199e+02,5.917070124834997724e-01
1.300000000000000000e+01,8.075861114140833479e+02,5.931031754688096402e-01
1.400000000000000000e+01,8.080747684589417759e+02,5.944993384541193970e-01
1.500000000000000000e+01,8.085634255038002038e+02,5.958955014394292649e-01
1.600000000000000000e+01,8.090520825486587455e+02,5.972916644247391327e-01
1.700000000000000000e+01,8.095407395935171735e+02,5.986878274100488895e-01
1.800000000000000000e+01,8.100293966383756015e+02,6.000839903953587573e-01
1.900000000000000000e+01,8.105180536832343705e+02,6.014801533806696243e-01
2.000000000000000000e+01,8.110067107280927985e+02,6.028763163659793811e-01
2.100000000000000000e+01,8.114953677729512265e+02,6.042724793512892489e-01
2.200000000000000000e+01,8.119840248178096545e+02,6.056686423365991168e-01
2.300000000000000000e+01,8.124726818626680824e+02,6.070648053219088736e-01
2.400000000000000000e+01,8.129613389075266241e+02,6.084609683072187414e-01
2.500000000000000000e+01,8.134499959523850521e+02,6.098571312925286092e-01
2.600000000000000000e+01,8.139386529972434801e+02,6.112532942778384770e-01
2.700000000000000000e+01,8.144273100421019080e+02,6.126494572631482338e-01
2.800000000000000000e+01,8.149159670869603360e+02,6.140456202484581016e-01
2.900000000000000000e+01,8.154046241318187640e+02,6.154417832337679695e-01
3.000000000000000000e+01,8.158932811766775330e+02,6.168379462190787255e-01
3.100000000000000000e+01,8.163819382215360747e+02,6.182341092043885933e-01
3.200000000000000000e+01,8.168705952663945027e+02,6.196302721896984611e-01
3.300000000000000000e+01,8.173592523112529307e+02,6.210264351750082179e-01
3.400000000000000000e+01,8.178479093561113586e+02,6.224225981603180857e-01
3.500000000000000000e+01,8.183365664009697866e+02,6.238187611456279535e-01
3.600000000000000000e+01,8.188252234458282146e+02,6.252149241309377103e-01
3.700000000000000000e+01,8.193138804906866426e+02,6.266110871162475782e-01
3.800000000000000000e+01,8.198025375355450706e+02,6.280072501015574460e-01
3.900000000000000000e+01,8.202911945804034985e+02,6.294034130868673138e-01
4.000000000000000000e+01,8.207798516252619265e+02,6.307995760721770706e-01
4.100000000000000000e+01,8.212685086701204682e+02,6.321957390574869384e-01
4.200000000000000000e+01,8.217571657149788962e+02,6.335919020427968062e-01
4.300000000000000000e+01,8.222458227598376652e+02,6.349880650281075622e-01
4.400000000000000000e+01,8.227344798046960932e+02,6.363842280134174301e-01
4.500000000000000000e+01,8.232231368495545212e+02,6.377803909987272979e-01
4.600000000000000000e+01,8.237117938944129492e+02,6.391765539840370547e-01
4.700000000000000000e+01,8.242004509392713771e+02,6.405727169693469225e-01
4.800000000000000000e+01,8.246891079841299188e+02,6.419688799546567903e-01
4.900000000000000000e+01,8.251777650289882331e+02,6.433650429399665471e-01
5.000000000000000000e+01,8.256664220738467748e+02,6.447612059252764150e-01
5.100000000000000000e+01,8.261550791187052027e+02,6.461573689105862828e-01
5.200000000000000000e+01,8.266437361635636307e+02,6.475535318958961506e-01
5.300000000000000000e+01,8.271323932084220587e+02,6.489496948812059074e-01
5.400000000000000000e+01,8.276210502532808277e+02,6.503458578665167744e-01
5.500000000000000000e+01,8.281097072981392557e+02,6.517420208518266422e-01
5.600000000000000000e+01,8.285983643429976837e+02,6.531381838371363990e-01
5.700000000000000000e+01,8.290870213878562254e+02,6.545343468224462669e-01
5.800000000000000000e+01,8.295756784327146534e+02,6.559305098077561347e-01
5.900000000000000000e+01,8.300643354775730813e+02,6.573266727930658915e-01
6.000000000000000000e+01,8.305529925224315093e+02,6.587228357783757593e-01
6.100000000000000000e+01,8.315422469332791024e+02,6.615492769522260952e-01
6.200000000000000000e+01,8.325315013441268093e+02,6.643757181260765421e-01
