t_s,P_kW,power_normalized
0.000000000000000000e+00,6.000061338769085069e+02,1.752536259574531859e-05
1.000000000000000000e+00,6.000023474011585449e+02,6.706860452835676151e-06
2.000000000000000000e+00,6.000053093478791197e+02,1.516956536893075892e-05
3.000000000000000000e+00,6.000039543945774767e+02,1.129827022125269806e-05
4.000000000000000000e+00,6.000000000000000000e+02,0.000000000000000000e+00
5.000000000000000000e+00,6.000027324012494319e+02,7.806860712572064403e-06
6.000000000000000000e+00,6.000046865719517655e+02,1.339020557644277465e-05
7.000000000000000000e+00,6.000029329807799741e+02,8.379945085668933237e-06
8.000000000000000000e+00,6.000022408460515635e+02,6.402417290219966551e-06
9.000000000000000000e+00,6.000011774082632883e+02,3.364023609254328298e-06
1.000000000000000000e+01,6.000057000056059451e+02,1.628573030285719375e-05
1.100000000000000000e+01,6.000045068075795598e+02,1.287659308456377877e-05
1.200000000000000000e+01,6.000059211242520405e+02,1.691749786302159235e-05
1.300000000000000000e+01,6.000046325844349440e+02,1.323595552850404435e-05
1.400000000000000000e+01,6.000089013946610521e+02,2.543255617433312353e-05
1.500000000000000000e+01,6.000115432882346340e+02,3.298082352754352805e-05
1.600000000000000000e+01,6.000075419577451612e+02,2.154845070033138292e-05
1.700000000000000000e+01,6.000126429116335203e+02,3.612260466708591672e-05
1.800000000000000000e+01,6.000057299932146861e+02,1.637140918477105741e-05
1.900000000000000000e+01,6.000118092141922261e+02,3.374061197763118087e-05
2.000000000000000000e+01,6.000093799092298923e+02,2.679974065678635185e-05
2.100000000000000000e+01,6.000118138207760694e+02,3.375377364582616744e-05
2.200000000000000000e+01,6.000128026539563280e+02,3.657901130374144094e-05
2.300000000000000000e+01,6.000118734975379766e+02,3.392427868000451080e-05
2.400000000000000000e+01,6.000128955765291039e+02,3.684450436886046006e-05
2.500000000000000000e+01,6.000090180453113362e+02,2.576584374672600882e-05
2.600000000000000000e+01,6.000151662255473184e+02,4.333207299241176812e-05
2.700000000000000000e+01,6.000145976736887405e+02,4.170763911061427004e-05
2.800000000000000000e+01,6.000113967509347503e+02,3.256214552790884687e-05
2.900000000000000000e+01,6.000165311991584076e+02,4.723199759558905140e-05
3.000000000000000000e+01,6.000137579831327912e+02,3.930852323664794869e-05
3.100000000000000000e+01,6.000187854727068952e+02,5.367277916262164688e-05
3.200000000000000000e+01,6.000177998670162651e+02,5.085676290346541968e-05
3.300000000000000000e+01,6.000148083567019057e+02,4.230959057685708245e-05
3.400000000000000000e+01,6.000236213265955030e+02,6.748950455843312404e-05
3.500000000000000000e+01,6.000179573461008431e+02,5.130670314536019426e-05
3.600000000000000000e+01,6.000152639598316000e+02,4.361131380464634377e-05
3.700000000000000000e+01,6.000195021244506961e+02,5.572035557353164601e-05
3.800000000000000000e+01,6.000208882272737583e+02,5.968064935343676212e-05
3.900000000000000000e+01,6.000196365005499501e+02,5.610428728543564466e-05
4.000000000000000000e+01,6.000206551280850817e+02,5.901465167159639997e-05
4.100000000000000000e+01,6.000234441797801992e+02,6.698337080045946171e-05
4.200000000000000000e+01,6.000234171195131694e+02,6.690605575200311123e-05
4.300000000000000000e+01,6.000248398446483407e+02,7.097098470969714435e-05
4.400000000000000000e+01,6.000264775384781615e+02,7.565010993752568566e-05
4.500000000000000000e+01,6.000223204078143908e+02,6.377259375528912901e-05
4.600000000000000000e+01,6.000243221805778830e+02,6.949194450823120489e-05
4.700000000000000000e+01,6.000248246569287858e+02,7.092759122497955756e-05
4.800000000000000000e+01,6.000237810678117967e+02,6.794590803367021490e-05
4.900000000000000000e+01,6.000273798821144737e+02,7.822823461287534824e-05
5.000000000000000000e+01,6.000309094317685776e+02,8.831266219593623230e-05
5.100000000000000000e+01,6.000314701532387289e+02,8.991472353910332600e-05
5.200000000000000000e+01,6.000271161374990925e+02,7.747467856899508559e-05
5.300000000000000000e+01,6.000283558926355454e+02,8.101683610157096491e-05
5.400000000000000000e+01,6.000286773985585569e+02,8.193542445308280974e-05
5.500000000000000000e+01,6.000292499866039861e+02,8.357139029722700891e-05
5.600000000000000000e+01,6.000325034246383211e+02,9.286692753807075174e-05
5.700000000000000000e+01,6.000285752246410311e+02,8.164349897446920975e-05
5.800000000000000000e+01,6.000300436954393035e+02,8.583912982668574082e-05
5.900000000000000000e+01,6.000322622227298552e+02,9.217777922815276908e-05
6.000000000000000000e+01,6.000304561944611805e+02,8.701769846039102965e-05
6.100000000000000000e+01,6.000316252535279773e+02,9.035786722294357866e-05
6.200000000000000000e+01,6.000354902866570228e+02,1.014008190199347563e-04
6.300000000000000000e+01,6.000341143297013105e+02,9.746951343231887528e-05
6.400000000000000000e+01,6.000335765106672170e+02,9.593288762070496659e-05
6.500000000000000000e+01,6.000371796055785580e+02,1.062274445100675597e-04
6.600000000000000000e+01,6.000289625038468557e+02,8.275001099113498261e-05
6.700000000000000000e+01,6.000352970866467786e+02,1.008488189908284910e-04
6.800000000000000000e+01,6.000371980300515133e+02,1.062800858615741496e-04
6.900000000000000000e+01,6.000347514442983083e+02,9.928984085241897436e-05
7.000000000000000000e+01,6.000331644925275896e+02,9.475569293611823098e-05
7.100000000000000000e+01,6.000399941611117356e+02,1.142690317479431008e-04
7.200000000000000000e+01,6.000419794261438255e+02,1.199412175538167675e-04
7.300000000000000000e+01,6.000407277429101214e+02,1.163649797432621860e-04
7.400000000000000000e+01,6.000435758342053987e+02,1.245023834439366991e-04
7.500000000000000000e+01,6.000407850275545343e+02,1.165286501557963940e-04
7.600000000000000000e+01,6.000448059854031726e+02,1.280171011518039647e-04
7.700000000000000000e+01,6.000433019216765160e+02,1.237197762185286612e-04
7.800000000000000000e+01,6.000459294990200760e+02,1.312271400573669178e-04
7.900000000000000000e+01,6.000462534722140617e+02,1.321527777543701754e-04
8.000000000000000000e+01,6.000445385451354241e+02,1.272529861011975855e-04
8.100000000000000000e+01,6.000448443422711762e+02,1.281266922032695021e-04
8.200000000000000000e+01,6.000491685933827739e+02,1.404816953795122718e-04
8.300000000000000000e+01,6.000525741140600076e+02,1.502117544572836231e-04
8.400000000000000000e+01,6.000509532057312754e+02,1.455805878034963866e-04
8.500000000000000000e+01,6.000533761295281465e+02,1.525032272234351765e-04
8.600000000000000000e+01,6.000527737378341726e+02,1.507821080975212710e-04
8.700000000000000000e+01,6.000539842257154532e+02,1.542406449013394843e-04
8.800000000000000000e+01,6.000550534935870246e+02,1.572956959630178789e-04
8.900000000000000000e+01,6.000495541335393455e+02,1.415832386839406434e-04
9.000000000000000000e+01,6.000525574870771379e+02,1.501642487917150069e-04
9.100000000000000000e+01,6.000578689224328173e+02,1.653397783795352216e-04
9.200000000000000000e+01,6.000515258700233971e+02,1.472167714954318921e-04
9.300000000000000000e+01,6.000555806412897937e+02,1.588018322564484902e-04
9.400000000000000000e+01,6.000524244508500260e+02,1.497841452858429277e-04
9.500000000000000000e+01,6.000550454431628395e+02,1.572726947510970060e-04
9.600000000000000000e+01,6.000545724927850415e+02,1.559214079572351593e-04
9.700000000000000000e+01,6.000532033927046314e+02,1.520096934417595135e-04
9.800000000000000000e+01,6.000589963560245224e+02,1.685610172129459812e-04
9.900000000000000000e+01,6.000656285689814240e+02,1.875101970896881829e-04
1.000000000000000000e+02,6.000587867490860390e+02,1.679621402458348451e-04
1.010000000000000000e+02,6.000596084630891482e+02,1.703098945404000586e-04
1.020000000000000000e+02,6.000644899027196288e+02,1.842568649131921658e-04
1.030000000000000000e+02,6.000594853892215497e+02,1.699582549187555124e-04
1.040000000000000000e+02,6.000618563393261411e+02,1.767323980748173597e-04
1.050000000000000000e+02,6.000657395243014207e+02,1.878272122897476596e-04
1.060000000000000000e+02,6.000605958544945224e+02,1.731310128413693318e-04
1.070000000000000000e+02,6.000635391775913376e+02,1.815405074039210713e-04
1.080000000000000000e+02,6.000676170875531170e+02,1.931916787231757260e-04
1.090000000000000000e+02,6.000614729534843264e+02,1.756370099550906517e-04
1.100000000000000000e+02,6.000687233276452162e+02,1.963523647005570327e-04
1.110000000000000000e+02,6.000687360344753642e+02,1.963886699294658557e-04
1.120000000000000000e+02,6.000688060908377111e+02,1.965888309649184386e-04
1.130000000000000000e+02,6.000677914268757149e+02,1.936897910735850916e-04
1.140000000000000000e+02,6.000754533296369573e+02,2.155809418197733129e-04
1.150000000000000000e+02,6.000701894219301948e+02,2.005412055147810996e-04
1.160000000000000000e+02,6.000709892071882905e+02,2.028263062521953148e-04
1.170000000000000000e+02,6.000717556155252623e+02,2.050160443579058882e-04
1.180000000000000000e+02,6.000727527282721212e+02,2.078649379203618064e-04
1.190000000000000000e+02,6.000890030018869084e+02,2.542942911054196786e-04
1.200000000000000000e+02,6.000900741222028500e+02,2.573546348652825809e-04
1.210000000000000000e+02,6.000891483101003132e+02,2.547094574293626073e-04
1.220000000000000000e+02,6.001360163972481132e+02,3.886182778517336170e-04
1.230000000000000000e+02,6.003004507021983045e+02,8.584305777094412447e-04
1.240000000000000000e+02,6.003630478326317643e+02,1.037279521804885868e-03
1.250000000000000000e+02,6.002030411693690439e+02,5.801176267687881312e-04
1.260000000000000000e+02,6.001005009474059761e+02,2.871455640170149392e-04
1.270000000000000000e+02,6.000991022197039229e+02,2.831491991539207402e-04
1.280000000000000000e+02,6.000974098594921315e+02,2.783138842631202765e-04
1.290000000000000000e+02,6.000959769617137454e+02,2.742198906106829920e-04
1.300000000000000000e+02,6.001006196466798883e+02,2.874847047996455262e-04
1.310000000000000000e+02,6.001014590159973068e+02,2.898829028495806745e-04
1.320000000000000000e+02,6.009675180705412458e+02,2.764337344403435849e-03
1.330000000000000000e+02,6.193572077707214021e+02,5.530630791634676136e-02
1.340000000000000000e+02,6.201302467970240286e+02,5.751499084864022948e-02
1.350000000000000000e+02,6.243518083073805656e+02,6.957659516394436305e-02
1.360000000000000000e+02,6.268089242468538487e+02,7.659692641958254500e-02
1.370000000000000000e+02,6.268707046139928707e+02,7.677344175426546735e-02
1.380000000000000000e+02,6.268748441678096697e+02,7.678526905088466081e-02
1.390000000000000000e+02,6.268780840050039842e+02,7.679452572858280757e-02
1.400000000000000000e+02,6.268820160766856588e+02,7.680576021910193174e-02
1.410000000000000000e+02,6.268929738226116797e+02,7.683706806460484373e-02
1.420000000000000000e+02,6.268944559635987162e+02,7.684130275313932890e-02
1.430000000000000000e+02,6.276140131407613580e+02,7.889718040217534589e-02
1.440000000000000000e+02,6.274832016773877967e+02,7.852343336396502838e-02
1.450000000000000000e+02,6.268974885169002391e+02,7.684996719114360608e-02
1.460000000000000000e+02,6.385904018349843909e+02,1.102582909570983538e-01
1.470000000000000000e+02,6.420072741536537251e+02,1.200207832961535798e-01
1.480000000000000000e+02,6.420271037960945932e+02,1.200774394174130288e-01
1.490000000000000000e+02,6.420538125995623204e+02,1.201537502844636368e-01
1.500000000000000000e+02,6.366034148207345424e+02,1.045811852020985810e-01
1.510000000000000000e+02,6.296029272623643465e+02,8.457979217818371864e-02
1.520000000000000000e+02,6.313449355623382644e+02,8.955695874953774338e-02
1.530000000000000000e+02,6.316617754764560004e+02,9.046221564701713291e-02
1.540000000000000000e+02,6.303794024959614717e+02,8.679829284560416913e-02
1.550000000000000000e+02,6.313882727237241852e+02,8.968077921064061819e-02
1.560000000000000000e+02,6.314798855146810865e+02,8.994253004194581458e-02
1.570000000000000000e+02,6.316602421314524918e+02,9.045783466129297956e-02
1.580000000000000000e+02,6.296344156157487078e+02,8.466975890213906952e-02
1.590000000000000000e+02,6.301234883592248934e+02,8.606710959778546277e-02
1.600000000000000000e+02,6.319318499106944955e+02,9.123385688769850010e-02
1.610000000000000000e+02,6.305210660756774814e+02,8.720304593050703934e-02
1.620000000000000000e+02,6.308352431270840270e+02,8.810069464881138679e-02
1.630000000000000000e+02,6.311131787230175405e+02,8.889479635147871928e-02
1.640000000000000000e+02,6.308668280955199634e+02,8.819093741577128942e-02
1.650000000000000000e+02,6.308292103833451847e+02,8.808345823812918640e-02
1.660000000000000000e+02,6.317198072614453395e+02,9.062802074698660115e-02
1.670000000000000000e+02,6.308650259030366669e+02,8.818578829439047140e-02
1.680000000000000000e+02,6.315718065501190495e+02,9.020516157176880490e-02
1.690000000000000000e+02,6.315560115952165461e+02,9.016003312919017298e-02
1.700000000000000000e+02,6.310170997279147969e+02,8.862028493689934339e-02
1.710000000000000000e+02,6.306917944036538302e+02,8.769084115329665863e-02
1.720000000000000000e+02,6.314349461778674595e+02,8.981413193676425488e-02
1.730000000000000000e+02,6.317193961336209895e+02,9.062684609606001807e-02
1.740000000000000000e+02,6.310532688179122260e+02,8.872362519403499681e-02
1.750000000000000000e+02,6.317207341409530272e+02,9.063066897415160417e-02
1.760000000000000000e+02,6.315937472694477037e+02,9.026784934127922433e-02
1.770000000000000000e+02,6.308631508484280630e+02,8.818043099550863795e-02
1.780000000000000000e+02,6.320449368854845034e+02,9.155696252995589035e-02
1.790000000000000000e+02,6.311992849338392944e+02,8.914081409668377087e-02
1.800000000000000000e+02,6.310629937215480822e+02,8.875141063299456234e-02
1.810000000000000000e+02,6.316104414086247516e+02,9.031554688178487778e-02
1.820000000000000000e+02,6.310625708239776941e+02,8.875020235422191595e-02
1.830000000000000000e+02,6.314942444612004238e+02,8.998355560342982673e-02
1.840000000000000000e+02,6.320100129887466665e+02,9.145717996784762105e-02
1.850000000000000000e+02,6.311813762519717557e+02,8.908964643420505536e-02
1.860000000000000000e+02,6.307499157967964720e+02,8.785690227656133000e-02
1.870000000000000000e+02,6.320754981182864185e+02,9.164428033796118145e-02
1.880000000000000000e+02,6.313869877147681109e+02,8.967710775648039812e-02
1.890000000000000000e+02,6.307012545748050343e+02,8.771787021372870474e-02
1.900000000000000000e+02,6.315442777431596824e+02,9.012650783759924844e-02
1.910000000000000000e+02,6.318325777041164883e+02,9.095022201176128362e-02
1.920000000000000000e+02,6.309615009383393271e+02,8.846143125239801230e-02
1.930000000000000000e+02,6.314040649562583667e+02,8.972589987502398168e-02
1.940000000000000000e+02,6.313607933152736678e+02,8.960226661506773271e-02
1.950000000000000000e+02,6.306048558442496415e+02,8.744244526928462991e-02
1.960000000000000000e+02,6.302096933235010283e+02,8.631340949571726651e-02
1.970000000000000000e+02,6.312078339255671153e+02,8.916523978733467692e-02
1.980000000000000000e+02,6.307635359179554371e+02,8.789581690844419648e-02
1.990000000000000000e+02,6.313449422648147902e+02,8.955697789947084098e-02
2.000000000000000000e+02,6.312955380338751183e+02,8.941582295392906665e-02
2.010000000000000000e+02,6.306705732061279832e+02,8.763020916036579067e-02
2.020000000000000000e+02,6.304381618415469575e+02,8.696617669013426144e-02
2.030000000000000000e+02,6.310525699346910642e+02,8.872162838483160785e-02
