t_s,P_kW,power_normalized
0.000000000000000000e+00,8.852074886786986099e+02,8.148785390819960339e-01
1.000000000000000000e+00,7.230531575281331698e+02,3.515804500803805799e-01
2.000000000000000000e+00,7.380538645308604373e+02,3.944396129453156541e-01
3.000000000000000000e+00,7.385995783221225111e+02,3.959987952060643468e-01
4.000000000000000000e+00,7.396725966518547466e+02,3.990645618624419355e-01
5.000000000000000000e+00,8.731568195747033769e+02,7.804480559277238161e-01
6.000000000000000000e+00,9.423237784957007079e+02,9.780679385591448671e-01
7.000000000000000000e+00,9.466754451473658492e+02,9.905012718496167823e-01
8.000000000000000000e+00,9.445896889168468533e+02,9.845419683338482164e-01
9.000000000000000000e+00,9.443645107681948048e+02,9.838986021948421534e-01
1.000000000000000000e+01,9.453346003526451113e+02,9.866702867218429818e-01
1.100000000000000000e+01,7.556911487445448756e+02,4.448318535558425380e-01
1.200000000000000000e+01,7.452456895359293867e+02,4.149876843883698041e-01
1.300000000000000000e+01,7.479038092157572919e+02,4.225823120450208914e-01
1.400000000000000000e+01,7.480573593338619958e+02,4.230210266681772024e-01
1.500000000000000000e+01,7.665168071873955569e+02,4.757623062497015054e-01
1.600000000000000000e+01,9.467048167828937721e+02,9.905851908082679014e-01
1.700000000000000000e+01,9.475021173939884420e+02,9.928631925542527048e-01
1.800000000000000000e+01,9.448902359607936887e+02,9.854006741736961450e-01
1.900000000000000000e+01,9.460024729345770993e+02,9.885784940987915048e-01
2.000000000000000000e+01,9.448501723070667140e+02,9.852862065916191403e-01
2.100000000000000000e+01,8.511726438710802540e+02,7.176361253459435652e-01
2.200000000000000000e+01,7.384275059710884079e+02,3.955071599173955454e-01
2.300000000000000000e+01,7.390067384101776042e+02,3.971621097433646330e-01
2.400000000000000000e+01,7.386600733074491245e+02,3.961716380212832456e-01
2.500000000000000000e+01,7.428364810948348804e+02,4.081042316995280861e-01
2.600000000000000000e+01,8.853090494716789181e+02,8.151687127762253793e-01
